name,description,category,sku,brand,price,currency,availability,url
Housse de protection Patch,Housse de protection Samsonite Taille M | 69x46x1 cm | 0.2 Kg,Housse de valise,109,Samsonite,190,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/housse-de-valise/109-3608-housse-de-protection-patch.html#/2-taille-m/217-poids-02_kg/312-dimension-69_x_46_x_1_cm/313-couleur-28_patrimoine
Sangle à code,Sangles Samsonite 18 x 5 x 0.2 cm || 0.17kg,Sangles,92,Samsonite,90,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sangles/92-3534-sangle-a-code.html#/14-couleur-bleu/231-dimension-18_x_5_x_02_cm/232-poids-017_kg
Rain Pro 3 Ultra mini,Parapluie Samsonite ↔ 22.5cm | ⌀ 88.5 cm || 0.16 kg,Parapluie,91,Samsonite,165,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/parapluie/91-3531-rain-pro-3-ultra-mini.html#/11-couleur-noir/229-dimension-_225cm_885_cm/230-poids-016_kg
Outline 8CC,Portefeuille Samsonite 8CC,Portefeuille,828683,Samsonite,250,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/portefeuille/89-3529-outline-8cc.html#/17-couleur-marron/225-dimension-79_x_13_x_1_cm/226-poids-0122_kg
Kit confort,Kit confort Samsonite.,Coussin de voyage,954399,Samsonite,120,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/coussin-de-voyage/88-3528-kit-confort.html#/11-couleur-noir
Eye shades &amp; ear,Masque Samsonite pour les yeux.,Masques,82,Samsonite,35,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/masques/82-3522-eye-shades-ear.html#/214-couleur-vert_militaire/215-poids-081_kg
Cadenas à combinaison TSA,Cadenas Samsonite à combinaison TSA.,Cadenas,80,Samsonite,65,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/cadenas/80-3517-cadenas-a-combinaison-tsa.html#/11-couleur-noir/210-dimension-7_x_3_x_1_cm/212-poids-007_kg
Cadenas à combinaison,Cadenas Samsonite à combinaisons.,Cadenas,79,Samsonite,65,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/cadenas/79-3515-cadenas-a-combinaison.html#/11-couleur-noir/210-dimension-7_x_3_x_1_cm/211-poids-005_kg
Cadenas à clé,Cadenas à clé Samsonite,Cadenas,78,Samsonite,65,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/cadenas/78-3514-cadenas-a-cle.html#/11-couleur-noir/208-dimension-45_x_27_x_12_cm/209-poids-01_kg
Alu drop S 3 Tomato,Parapluie Samsonite,Parapluie,75,Samsonite,165,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/parapluie/75-3511-alu-drop-s-3-tomato.html#/1-taille-s/10-couleur-rouge/203-dimension-_26cm_91_cm/204-poids-023_kg
Housse de protection,Achetez une housse de protection pour bagage ✓ élastique et résistante ✓ Protège votre valise des rayures ✓ Facile à enfiler ✓ Boutique Samsonite en Tunisie,Housse de valise,29,Samsonite,400,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/housse-de-valise/29-2446-housse-de-protection.html#/11-couleur-noir/52-dimension-72_x_57_x_30cm/53-taille-large_extensible/54-poids-015_kg
Sac à dos UpBeat SAD Zip,Sac à dos UpBeat SAD Zip by American Tourister.,Sac Scolaire,152,American Tourister,330,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-scolaire/152-3642-sac-a-dos-upbeat-sad-zip.html#/10-couleur-rouge/343-poids-04_kg/364-dimension-425_x_29_x_19_cm/365-volume-195_l
Sac à dos Disney Forever,Sac à dos Disney by Samsonite.,Sac Scolaire,149,Disney,260,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-scolaire/149-3639-sac-a-dos-disney-forever.html#/343-poids-04_kg/356-couleur-noir_et_blanc/357-dimension-315_x_24_x_145_cm/358-volume-11_l
Sac à dos Disney Minnie rêveuse,Le sac à dos Disney Minnie rêveuse by Samsonite 43 cm a tout du sac ergonomique par excellence ! Son design girly ainsi que son aspect ultra pratique sont parfaits pour les petites filles coquettes  en classe de CE1/CM2.,Sac à dos enfants,146,Disney,380,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-a-dos-enfants/146-3635-sac-a-dos-disney-minnie-reveuse.html#/10-couleur-rouge/346-dimension-46_x_335_x_22_cm/347-volume-19_l/348-poids-13_kg
Sam School Spirit M,Cartable Samsonite Sam School Spirit M 40cm.,Sac Scolaire,111,Samsonite,290,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-scolaire/111-3614-sam-school-spirit-m.html#/2-taille-m/315-couleur-lemon_fields/316-dimension-33_x_40_x_17_cm/317-volume-15_l/318-poids-1_kg
Sammies Panda,Sac à dos Samsonite pour enfants 31x26x18 cm | 9L | 0.24 Kg,Sac à dos enfants,102,Samsonite,88,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-a-dos-enfants/102-3602-sammies-panda.html#/299-couleur-panda/300-dimension-31_x_26_x_18_cm/301-poids-024_kg/302-volume-9_l
URBAN GROOVE UG LIFESTYLE  JUNGLE,"Cet article American Tourister cool fascine au premier coup d’œil. Toutes vos affaires peuvent facilement être rangées dans le American Tourister Urban Groove UG Lifestyle Backpack 1 sac à dos . Pour garder votre ordinateur portable près de vous à tout moment, il y a un compartiment à l’intérieur pour votre ordinateur. Le design ample peut être combiné de différentes manières dans la vie quotidienne et ajoute un facteur cool à votre look. Ne laissez pas le American Tourister sac à dos vous échapper !",Accueil,279,American Tourister,280,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/279-4414-urban-groove-ug-lifestyle-jungle.html#/343-poids-04_kg/366-dimension-40_x_275_x_205_cm/367-volume-23_l/442-couleur-jungle
ECODIVER LAPTOP BACKPACK,SAC A DOS,Accueil,140838,Samsonite,880,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/244-4166-ecodiver-laptop-backpack.html#/16-couleur-jaune/318-poids-1_kg/350-volume-26_l/419-dimension-48_x_32_x_235_cm
LITEPOINT,"Optez pour un look épuré et urbain avec ce design minimaliste. Le modèle de forme carrée, les détails sur les fermetures à glissière et la palette de couleurs sophistiquée rendent cette collection moderne et classique. Profitez de Litepoint, votre espace de travail mobile écologique dans un emballage écologique.",Accueil,079817,Samsonite,370,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/228-litepoint.html
SPETROLITE 3.0,"Optez pour un look élégant et chic avec Spectrolite 3.0, notre ligne business mise à neuf avec un nouveau design et des fonctionnalités optimisées. En ajoutant des options d&#039;organisation supplémentaires, un port USB (pas sur le crossover) et en améliorant l&#039;accessibilité du compartiment principal, Spectrolite 3.0 est une nouvelle référence pour les voyages d&#039;affaires.",Accueil,109118,Samsonite,490,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/226-spetrolite-30.html
Urban Groove,,Accueil,206,Samsonite,250,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/accueil/206-3940-urban-groove.html#/172-couleur-violet/274-dimension-465_x_33_x_225_cm/334-poids-05_kg
Urban Groove UG3 Sac Ordinateur 15.6&quot;,Sac à dos Urban Groove UG3 pour ordinateur 15.6&quot; by American Tourister.,Sac Ordinateur,167,American Tourister,250,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-ordinateur/167-3725-urban-groove-ug3-sac-ordinateur-156.html#/11-couleur-noir/323-volume-25_l/334-poids-05_kg/421-dimension-45_x_305_x_23_cm
Sac à dos UG LifeStyle BP 6,Sac à dos Urban Groove Life Style BP 6 by American Tourister.,Sac Scolaire,154,American Tourister,295,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-scolaire/154-3649-sac-a-dos-ug-lifestyle-bp-6.html#/343-poids-04_kg/372-couleur-flowers_black/373-dimension-43_x_28_x_23_cm/374-volume-20_l
Sac à dos UG LifeStyle,Sac à dos Urban Groove Life Style by American Tourister.,Sac Scolaire,153,American Tourister,295,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-scolaire/153-3646-sac-a-dos-ug-lifestyle.html#/366-dimension-40_x_275_x_205_cm/367-volume-23_l/368-poids-039_kg/369-couleur-glitch
SummerFunk Duffle,Sac de voyage SummerFunk de la marque American Tourister.,Sac à dos,125,American Tourister,380,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-a-dos/125-3633-summerfunk-duffle.html#/47-taille-cabine/245-couleur-bleu/329-poids-06_kg/344-dimension-32_x_525_x_30_cm/345-volume-505_l
AT Work Sac Ordinateur 17.3&quot;,AT Work sac ordinateur 17.3&quot; by American Tourister.,Sac Ordinateur,123456,American Tourister,360,TND,https://schema.org/OutOfStock,https://samsonite.com.tn/fr/sac-ordinateur/163-3715-at-work-sac-ordinateur-173.html#/11-couleur-noir/114-volume-34_l/324-poids-07_kg/413-dimension-525_x_335_x_235_cm
Sac Urban Pack Florale,Sac à dos Samsonite,Sac Scolaire,104942,Samsonite,160,TND,https://schema.org/InStock,https://samsonite.com.tn/fr/sac-scolaire/105-sac-urban-pack-florale.html
